Time [s],Channel 0,Channel 1
-0.000280608,0,0
-0.000240024,1,0
-0.000115840,1,1
-0.000102640,1,0
0.000000000,0,0
0.000020872,1,0
0.000139912,1,1
0.000145200,1,0
0.000204608,0,0
0.000332080,0,1
0.000433760,1,1
0.000482864,0,1
0.000593112,0,0
0.000656800,0,1
0.000692104,1,1
0.000747320,1,0
0.000836688,1,1
0.000871728,0,1
0.000993464,0,0
0.000994560,1,0
0.001082008,0,0
0.001098504,0,1
0.001273384,1,1
0.001313760,1,0
0.001347776,1,1
0.001504144,0,1
0.001523312,0,0
0.001530248,1,0
0.001626824,1,1
0.001636792,0,1
0.001813312,1,1
0.001825976,1,0
0.001854568,0,0
0.001989376,1,0
0.002014320,1,1
0.002115328,1,0
0.002247776,0,0
0.002352240,0,1
0.002408608,1,1
0.002444344,1,0
0.002665880,0,0
0.002682640,0,1
0.002716032,1,1
0.002721544,1,0
0.002783064,0,0
0.002869048,1,0
0.002911792,1,1
0.002984608,0,1
0.003054248,1,1
0.003127784,1,0
0.003228552,0,0
0.003263792,0,1
0.003275928,1,1
0.003296320,1,0
0.003391520,0,0
0.003549016,0,1
0.003573800,1,1
0.003777872,1,0
0.003808056,0,0
0.004037016,0,1
0.004040328,1,1
0.004096448,1,0
0.004134720,1,1
0.004138488,0,1
0.004247208,0,0
0.004289816,0,1
0.004383504,1,1
0.004391632,1,0
0.004529120,0,0
0.004605800,0,1
0.004609712,1,1
0.004651520,1,0
0.004801264,1,1
0.004848608,0,1
0.004870984,1,1
0.004957536,1,0
0.005021432,0,0
0.005194176,0,1
0.005218696,0,0
0.005249136,1,0
0.005325664,0,0
0.005424904,1,0
0.005460472,1,1
0.005475280,1,0
0.005521392,1,1
0.005521688,1,0
0.005583776,0,0
0.005664296,0,1
0.005700192,0,0
0.005783136,0,1
0.005818032,1,1
0.005909280,1,0
0.005961248,0,0
0.005966352,1,0
0.005983136,1,1
0.006153112,0,1
0.006172424,0,0
0.006187472,1,0
0.006313928,0,0
0.006328136,0,1
0.006409400,1,1
0.006477624,0,1
0.006578080,0,0
0.006733528,0,1
0.006737136,1,1
0.006836576,1,0
0.006868400,0,0
0.007080312,0,1
0.007112216,1,1
0.007213368,0,1
0.007331352,0,0
0.007457992,1,0
0.007523440,1,1
0.007601024,0,1
0.007659328,0,0
0.007722224,1,0
0.007781944,0,0
0.007839928,0,1
0.007886744,0,0
0.007955624,1,0
0.008028936,1,1
0.008097224,0,1
0.008103296,0,0
0.008110488,0,1
0.008112880,0,0
0.008175600,0,1
0.008215176,1,1
0.008237400,1,0
0.008329544,1,1
0.008465216,0,1
0.008483528,0,0
0.008649776,1,0
0.008695936,0,0
0.008712496,0,1
0.008807768,1,1
0.008810152,0,1
0.008885720,0,0
0.008920232,1,0
0.009028504,1,1
0.009086080,0,1
0.009099072,0,0
0.009134664,1,0
0.009326304,1,1
0.009337192,0,1
0.009543584,0,0
0.009569416,1,0
0.009615704,0,0
0.009717000,0,1
0.009804424,1,1
0.009877408,0,1
0.009922152,0,0
0.009974560,1,0
0.010036904,0,0
0.010150760,0,1
0.010162400,0,0
0.010207496,0,1
0.010221880,0,0
0.010259584,1,0
0.010457552,0,0
0.010468640,0,1
0.010486112,0,0
0.010537728,0,1
0.010555472,0,0
0.010558736,1,0
0.010676488,1,1
0.010781624,1,0
0.010788584,0,0
0.010930688,1,0
0.010961000,1,1
0.011123992,0,1
0.011143256,0,0
0.011202376,0,1
0.011271904,0,0
0.011379176,1,0
0.011390896,1,1
0.011540672,1,0
0.011577816,0,0
0.011707528,1,0
0.011766440,0,0
0.011776632,0,1
0.011833168,0,0
0.011961200,0,1
0.012006312,1,1
0.012062616,1,0
0.012078648,0,0
0.012179920,0,1
0.012241016,0,0
0.012283392,0,1
0.012300864,1,1
0.012360536,0,1
0.012482264,1,1
0.012516528,1,0
0.012633480,0,0
0.012774360,0,1
0.012830152,1,1
0.012847704,1,0
0.013035256,1,1
0.013083912,0,1
0.013226936,0,0
0.013229656,1,0
0.013313640,1,1
0.013325496,1,0
0.013403952,0,0
0.013445056,1,0
0.013526560,0,0
0.013563616,0,1
0.013654768,1,1
0.013810624,1,0
0.013820472,1,1
0.013822568,1,0
0.013842520,1,1
0.013883872,0,1
0.014060488,0,0
0.014107704,1,0
0.014167656,0,0
0.014222000,0,1
0.014299576,0,0
0.014324136,1,0
0.014415208,1,1
0.014503528,0,1
0.014560088,1,1
0.014586144,1,0
0.014606144,0,0
0.014713832,0,1
0.014729808,1,1
0.014811032,1,0
0.014888048,0,0
0.014922464,0,1
0.015009528,1,1
0.015025376,0,1
0.015094112,0,0
0.015200600,0,1
0.015279944,1,1
0.015315896,1,0
0.015473472,0,0
0.015485368,0,1
0.015551024,0,0
0.015591864,0,1
0.015644360,0,0
0.015659192,1,0
0.015689616,0,0
0.015782632,0,1
0.015802064,1,1
0.015813144,0,1
0.015861480,1,1
0.015926984,1,0
0.016061448,0,0
0.016186640,0,1
0.016190640,1,1
0.016389200,1,0
0.016403664,1,1
0.016424816,0,1
0.016521032,1,1
0.016662928,1,0
0.016676896,0,0
0.016677544,0,1
0.016874640,1,1
0.016935616,1,0
0.016968312,0,0
0.017057408,0,1
0.017076048,1,1
0.017087056,0,1
0.017113624,0,0
0.017141120,0,1
0.017223568,1,1
0.017298896,1,0
0.017444200,0,0
0.017482896,0,1
0.017687352,0,0
0.017696024,1,0
0.017773720,1,1
0.017819136,0,1
0.017838968,0,0
0.017859320,1,0
0.017915152,1,1
0.017990152,1,0
0.018000168,0,0
0.018087480,0,1
0.018093096,0,0
0.018249688,1,0
0.018280848,0,0
0.018300944,0,1
0.018336864,0,0
0.018460280,1,0
0.018506712,0,0
0.018575520,0,1
0.018755520,1,1
0.018819320,1,0
0.018839664,0,0
0.018955064,1,0
0.019025568,1,1
0.019097808,0,1
0.019147248,1,1
0.019247600,0,1
0.019259200,1,1
0.019269584,1,0
0.019373248,1,1
0.019381144,0,1
0.019386536,1,1
0.019447856,1,0
0.019520032,0,0
0.019610712,1,0
0.019668704,1,1
0.019670472,1,0
0.019851016,0,0
0.019930464,0,1
0.019948680,1,1
0.020019024,1,0
0.020176080,0,0
0.020183456,0,1
0.020295136,1,1
0.020410104,1,0
0.020426088,0,0
0.020509176,1,0
0.020612096,1,1
0.020693064,0,1
0.020840744,0,0
0.020849424,0,1
0.020873896,1,1
0.020969656,1,0
0.021040176,0,0
0.021134448,0,1
0.021174200,1,1
0.021367752,0,1
0.021389928,0,0
0.021464712,0,1
0.021542992,1,1
0.021574568,1,0
0.021587368,0,0
0.021787592,0,1
0.021835616,1,1
0.021885872,1,0
0.021888504,0,0
0.022035328,1,0
0.022100104,0,0
0.022109448,0,1
0.022126072,1,1
0.022232240,0,1
0.022338424,0,0
0.022368960,0,1
0.022469976,1,1
0.022506696,1,0
0.022533144,1,1
0.022695840,0,1
0.022712136,1,1
0.022713416,1,0
0.022870784,0,0
0.022879624,0,1
0.022925408,1,1
0.023078264,1,0
0.023088520,0,0
0.023313080,0,1
0.023332152,1,1
0.023431200,1,0
0.023549264,1,1
0.023568624,0,1
0.023570608,1,1
0.023622248,1,0
0.023754776,0,0
0.023871624,0,1
0.023915000,1,1
0.023986832,1,0
0.024029400,0,0
0.024146232,0,1
0.024220304,1,1
0.024232848,0,1
0.024238560,1,1
0.024281400,1,0
0.024479136,1,1
0.024488112,0,1
0.024643464,0,0
0.024664280,0,1
0.024681600,1,1
0.024767352,1,0
0.024790528,0,0
0.024951368,0,1
0.025004696,1,1
0.025044704,0,1
0.025051416,0,0
0.025057760,1,0
0.025117936,0,0
0.025202008,0,1
0.025332480,1,1
0.025347992,1,0
0.025474096,0,0
0.025504904,0,1
0.025641744,0,0
0.025731568,1,0
0.025735888,1,1
0.025827552,1,0
0.025975368,0,0
0.026056344,0,1
0.026167704,1,1
0.026186696,1,0
0.026304752,0,0
